delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,400,unexp,1,9,21,1,133.77507149986923,,133.76079149986617,133.77507149986923,134.77466939995065,134.77466939995065,134.77466939995065,135.3604563998524,space,0.5814745998941362,None,135.36141249979846,135.77474806650233,136.08819499984384,136.0755578998942,136.0756204999052,136.08819499984384,136.08819499984384,136.08819499984384,140.92573499982245,500,1,[4.8476963001303375],[4.847705900203437],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,1,10,22,9,140.94154519983567,,140.92673079995438,140.94154519983567,141.94172509992495,141.94172509992495,141.94172509992495,143.3590002998244,space,1.4098367998376489,None,143.35960809979588,143.4745166665564,143.78750689979643,143.77564269979484,143.77569099981338,143.78750689979643,143.78750689979643,143.78750689979643,147.39181219995953,670,1,[3.613959100097418],[3.613968800054863],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,1000,exp,1,11,23,7,147.40758249978535,,147.39281079987995,147.40758249978535,148.4076843999792,148.4076843999792,148.4076843999792,148.92603929992765,space,0.5145055002067238,None,148.92674639984034,149.34158266644616,149.6485424998682,149.63740010000765,149.6374305000063,149.6485424998682,149.6485424998682,149.6485424998682,154.45857219980098,570,1,[4.819574699969962],[4.819584799930453],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,2,0,24,6,154.47391840000637,,154.45958419982344,154.47391840000637,155.47404009988531,155.47404009988531,155.47404009988531,155.97577419993468,space,0.497173500014469,None,155.97650099988095,156.09075486666214,156.39781379979104,156.38501589978114,156.3850545999594,156.39781379979104,156.39781379979104,156.39781379979104,161.02654989995062,855,1,[4.63938540010713],[4.639401399996132],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,1000,exp,2,1,25,4,161.04109519999474,,161.02797269984148,161.04109519999474,162.04068769980222,162.04068769980222,162.04068769980222,162.64193139993586,space,0.5973756997846067,None,162.6425902999472,163.05726406659622,163.36970739997923,163.35633119987324,163.35639789979905,163.36970739997923,163.36970739997923,163.36970739997923,166.24175079981796,850,1,[2.8829693999141455],[2.8829798998776823],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,1000,exp,2,2,26,5,166.25697919982485,,166.24274409981444,166.25697919982485,167.25709420000203,167.25709420000203,167.25709420000203,167.8251989998389,space,0.5553386001847684,None,167.82581209996715,168.5408047666463,168.84759839996696,168.83503049984574,168.83508919994347,168.84759839996696,168.84759839996696,168.84759839996696,172.20884619979188,950,1,[3.3716054998803884],[3.3716168999671936],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,400,unexp,2,3,27,1,172.22388349985704,,172.21004249993712,172.22388349985704,173.224035799969,173.224035799969,173.224035799969,173.72565049980767,space,0.49938579997979105,None,173.7263274998404,174.14036456664715,174.44639689987525,174.4351343999151,174.4351651999168,174.44639689987525,174.44639689987525,174.44639689987525,178.39178149984218,600,1,[3.9548551999032497],[3.95486729987897],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,1000,exp,2,4,28,8,178.4064519999083,,178.39279089984484,178.4064519999083,179.40662759984843,179.40662759984843,179.40662759984843,179.92605979996733,space,0.5149536000099033,None,179.9270160999149,180.6406270666669,180.94864839990623,180.93525099987164,180.935297699878,180.94864839990623,180.94864839990623,180.94864839990623,184.00807939982042,700,1,[3.0706225000321865],[3.070631599985063],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,1000,exp,2,5,29,10,184.02463889983483,,184.00908939982764,184.02463889983483,185.0238684997894,185.0238684997894,185.0238684997894,185.59120809985325,space,0.5527607998810709,None,185.59179209987633,186.00636006665107,186.31926259980537,186.30654399981722,186.3065965999849,186.31926259980537,186.31926259980537,186.31926259980537,188.80791420000605,800,1,[2.498900900129229],[2.4989104999694973],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,400,unexp,2,6,30,0,188.82346310000867,,188.8088888998609,188.82346310000867,189.82320649991743,189.82320649991743,189.82320649991743,190.3244618999306,space,0.4977003000676632,None,190.32505729980767,190.43966306659084,190.7472737999633,190.73526749992743,190.7353065998759,190.7472737999633,190.7472737999633,190.7472737999633,193.94101379998028,500,1,[3.2035058999899775],[3.2035162998363376],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
